datetime,sec_code,ret
2017-03-31,ICLN.O,-0.0093457946379201
2017-03-31,IEF.O,0.0110787510413623
2017-03-31,IEMG.P,0.0190416406347382
2017-03-31,IGOV.O,0.0178582054346057
2017-03-31,INDA.B,0.01889788800756
2017-03-31,IUSG.O,0.0194049158271729
2017-03-31,KSA.P,0.0049522888709994
2017-03-31,MBB.O,0.0062588087660919
2017-03-31,MCHI.O,0.0246344883461064
2017-03-31,PFF.O,0.0129741423332745
2017-03-31,QQQ.O,0.0272699803175238
2017-03-31,SHY.O,0.0018760308876564
2017-03-31,SLV.P,-0.0550724637681159
2017-03-31,SMH.P,-0.0001254548840033
2017-03-31,SPY.P,0.0099261899257125
2017-03-31,TIP.P,0.0044972394358666
2017-03-31,TLT.O,0.0157142519721453
2017-03-31,USO.P,-0.037593984962406
2017-03-31,VCLT.O,0.0118885216006452
2017-03-31,VEGI.P,0.0159001920646135
2017-03-31,VGK.P,0.0389761490179414
2017-03-31,VONG.O,0.0222793486914332
2017-03-31,VTIP.O,-0.0002021427425548
2017-03-31,VTWO.O,0.011144332575989
2017-03-31,VXUS.O,0.0205314009279165
2017-03-31,XLE.P,-0.0294706723695515
2017-04-28,ACWI.O,0.0220908525113774
2017-04-28,BIL.P,0.0001452519236588
2017-04-28,BNDX.O,0.00729391637316
2017-04-28,BWX.P,0.0192450036254689
2017-04-28,CPER.P,-0.0080887573964495
2017-04-28,CQQQ.P,0.0204685011907235
2017-04-28,DBA.P,0.0121580544535178
2017-04-28,DVY.O,0.0077595628783109
2017-04-28,EFA.P,0.0354231975308521
2017-04-28,EMB.O,0.0076321252418456
2017-04-28,EWA.P,-0.0431878895297417
2017-04-28,EWG.P,0.0451482479528633
2017-04-28,EWH.P,0.0327510916735431
2017-04-28,EWJ.P,0.0275742384342947
2017-04-28,EWQ.P,0.0488936474788566
2017-04-28,EWT.P,0.0183649289218745
2017-04-28,EWU.P,0.0456193352191274
2017-04-28,EWY.P,0.0904991948639051
2017-04-28,EWZ.P,-0.0538068333916048
2017-04-28,FLOT.P,0.0015185308703142
2017-04-28,GLD.P,-0.0012420303055393
2017-04-28,HYG.P,0.0103165181800461
2017-04-28,IAGG.B,0.0060196488175678
2017-04-28,IBB.O,-0.0399475845282426
2017-04-28,ICLN.O,0.0247641511264675
2017-04-28,IEF.O,0.0082748737417586
2017-04-28,IEMG.P,0.0234086242518742
2017-04-28,IGOV.O,0.0228016342271304
2017-04-28,INDA.B,0.0146508728092562
2017-04-28,IUSG.O,0.026226734373171
2017-04-28,KSA.P,-0.0061137819076672
2017-04-28,MBB.O,0.0052538498262684
2017-04-28,MCHI.O,0.0510164191123825
2017-04-28,PFF.O,0.0055427224634903
2017-04-28,QQQ.O,0.0389734538115349
2017-04-28,SHY.O,0.0007322521872743
2017-04-28,SLV.P,0.005521472392638
2017-04-28,SMH.P,0.0789209536381987
2017-04-28,SPY.P,0.0141129033176203
2017-04-28,TIP.P,-0.0003895486713171
2017-04-28,TLT.O,0.0188983107606046
2017-04-28,USO.P,-0.0273437499999998
2017-04-28,VCLT.O,0.0247220100649443
2017-04-28,VEGI.P,0.0066391576266464
2017-04-28,VGK.P,0.0490854796107096
2017-04-28,VONG.O,0.0257334450370183
2017-04-28,VTIP.O,-0.000202183413787
2017-04-28,VTWO.O,-0.0198924731274633
2017-04-28,VXUS.O,0.0295857988301764
2017-04-28,XLE.P,-0.0353773585232155
2017-05-31,ACWI.O,0.0079520170618236
2017-05-31,BIL.P,0.0010292193134218
2017-05-31,BNDX.O,-0.0053569639171815
2017-05-31,BWX.P,0.0032679736741931
2017-05-31,CPER.P,0.0415610291529711
2017-05-31,CQQQ.P,0.0428861154866704
2017-05-31,DBA.P,-0.0065065063097069
2017-05-31,DVY.O,0.0079020049923719
2017-05-31,EFA.P,0.0030957698372175
2017-05-31,EMB.O,-0.0071612097921298
2017-05-31,EWA.P,0.0308581002496759
2017-05-31,EWG.P,-0.0051738152797435
2017-05-31,EWH.P,0.0075143469488654
2017-05-31,EWJ.P,0.0132518318483256
2017-05-31,EWQ.P,-0.0045055456751074
2017-05-31,EWT.P,0.0401396159603162
2017-05-31,EWU.P,-0.0153303159784502
2017-05-31,EWY.P,0.0013290016720548
2017-05-31,EWZ.P,-0.0211831630533996
2017-05-31,FLOT.P,0.0019806044471184
2017-05-31,GLD.P,-0.0215552976289172
2017-05-31,HYG.P,0.0013348187247026
2017-05-31,IAGG.B,-0.0057509804937405
2017-05-31,IBB.O,0.0857622134557747
2017-05-31,ICLN.O,0.0019728937855318
2017-05-31,IEF.O,-0.005097447474478
2017-05-31,IEMG.P,0.0113019217969942
2017-05-31,IGOV.O,0.0062047409602234
2017-05-31,INDA.B,-0.0100408686516411
2017-05-31,IUSG.O,-0.0031090161354376
2017-05-31,KSA.P,0.1046633571467521
2017-05-31,MBB.O,-0.0030667296858311
2017-05-31,MCHI.O,0.0206836169920721
2017-05-31,PFF.O,0.0080033870043463
2017-05-31,QQQ.O,-0.0231672740629901
2017-05-31,SHY.O,-0.0007851289153907
2017-05-31,SLV.P,-0.0414887126296522
