datetime,sec_code,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26
2017/1/31,ACWI.O,0.693877551,0.775510204,0.2,0.010204082,1,0.714285714,0.142857143,0,0.734693878,0.152173913,0.369565217,0.625,0.873684211,0.829787234,0.695652174,0.869565217,0.265306122,0.224489796,0.840909091,0.204081633,0.526315789,0.693877551,0.717391304,-0.076743729,4.48E-16,0.777777778
2017/1/31,BIL.P,0.183673469,0.367346939,0.422222222,0.010204082,0.271186441,0.612244898,0.238095238,0.020408163,1,0.760869565,0,0.166666667,0.936842105,0.468085106,0.195652174,0.195652174,0.653061224,0.489795918,0.704545455,0.571428571,0.778947368,0.755102041,0.108695652,-0.415006873,-0.300787524,0.513888889
2017/1/31,BNDX.O,0.142857143,0.836734694,0,0.448979592,1,0.387755102,0.928571429,0.102040816,0.142857143,0.347826087,0.108695652,0.395833333,0.231578947,0,0.130434783,1,0.836734694,0.734693878,0.5,0.591836735,0.547368421,0.428571429,0.369565217,-0.127221832,-1.303163411,0.513888889
2017/1/31,BWX.P,0.081632653,0.673469388,0.866666667,0.836734694,1,0.469387755,0.571428571,0.163265306,0.183673469,0.630434783,0.260869565,0.104166667,0.115789474,0.404255319,0.304347826,0.326086957,0.734693878,0.285714286,0.409090909,0.479591837,0.294736842,0.469387755,0.086956522,0.066331315,1.714125008,0.513888889
2017/1/31,CPER.P,0.346938776,0.040816327,0.466666667,0.918367347,0.06779661,0.571428571,0.571428571,0.142857143,0.979591837,0.934782609,1,0.229166667,0.463157895,0.957446809,0.739130435,0.391304348,0,0.673469388,0.090909091,0.918367347,0.252631579,0.06122449,0.782608696,-0.076743729,4.48E-16,0.027777778
2017/1/31,CQQQ.P,0.408163265,0.857142857,0.777777778,0.510204082,0.13559322,0.591836735,0.571428571,0.06122449,0.408163265,0.5,0.5,0.5,0.642105263,0.553191489,0.5,0.5,0.081632653,0.836734694,0.5,0.06122449,0.315789474,0.020408163,0.5,-0.226447347,0.505984261,0.527777778
2017/1/31,DBA.P,0.306122449,0.469387755,0.533333333,0.346938776,1,0.510204082,0.571428571,0.12244898,0.387755102,0.869565217,0.304347826,0.125,0,1,0.065217391,0.108695652,0.918367347,0.551020408,0,0.93877551,0.610526316,0.510204082,0.02173913,-0.776702028,-0.185015773,0.513888889
2017/1/31,DVY.O,0.897959184,0.93877551,0.844444444,0.244897959,1,0.448979592,0.571428571,0.081632653,0.306122449,0.217391304,0.326086957,0.875,0.715789474,0.319148936,0.913043478,0.673913043,0.326530612,0.857142857,0.954545455,0.387755102,1,0.081632653,0.913043478,-0.076743729,4.48E-16,0.75
2017/1/31,EFA.P,0.775510204,0.142857143,0.933333333,0.12244898,1,0.040816327,0.095238095,0.040816327,0.87755102,0.369565217,0.47826087,0.708333333,0.610526316,0.85106383,0.804347826,0.543478261,0.408163265,0.06122449,0.75,0.693877551,0.442105263,0.836734694,0.543478261,-0.076743729,4.48E-16,0.277777778
2017/1/31,EMB.O,0.795918367,0.87755102,0.244444444,0.673469388,1,0.020408163,0.976190476,0.734693878,0.591836735,0.065217391,0.173913043,0.979166667,0.357894737,0.574468085,0.413043478,0.086956522,0.897959184,0.12244898,0.909090909,0.081632653,0.084210526,0.387755102,0.630434783,-0.076743729,-0.167140481,0.666666667
